order,edge probability,query execution time,found
20,0.6,63,true
20,0.6,63,true
30,0.6,219,true
30,0.6,219,true
30,0.6,219,true
30,0.6,218,true
40,0.6,499,true
40,0.6,631,true
40,0.6,499,true
40,0.6,502,true
50,0.6,1045,true
50,0.6,1045,true
50,0.6,1045,true
50,0.6,1043,true
60,0.6,1797,true
60,0.6,1926,true
60,0.6,1792,true
60,0.6,1782,true
70,0.6,2933,true
70,0.6,2950,true
70,0.6,3026,true
70,0.6,2926,true
80,0.6,4675,true
80,0.6,4627,true
80,0.6,4669,true
80,0.6,4596,true
90,0.6,6381,true
90,0.6,6242,true
90,0.6,6356,true
90,0.6,6250,true
100,0.6,8665,true
100,0.6,8767,true
100,0.6,8781,true
100,0.6,8744,true
110,0.6,11807,true
110,0.6,11924,true
110,0.6,11855,true
110,0.6,11756,true
120,0.6,15247,true
120,0.6,15322,true
120,0.6,15169,true
120,0.6,15155,true
130,0.6,19897,true
130,0.6,19842,true
130,0.6,19807,true
130,0.6,19889,true
140,0.6,23858,true
140,0.6,23801,true
140,0.6,23833,true
140,0.6,23771,true
150,0.6,29974,true
150,0.6,29816,true
150,0.6,29868,true
150,0.6,29830,true
10,0.7,12,true
10,0.7,12,true
10,0.7,12,true
10,0.7,11,true
20,0.7,96,true
20,0.7,96,true
20,0.7,96,true
20,0.7,96,true
30,0.7,443,true
30,0.7,312,true
30,0.7,311,true
30,0.7,310,true
40,0.7,759,true
40,0.7,756,true
40,0.7,761,true
40,0.7,757,true
50,0.7,1672,true
50,0.7,1528,true
50,0.7,1529,true
50,0.7,1531,true
60,0.7,2599,true
60,0.7,2611,true
60,0.7,2613,true
60,0.7,2613,true
70,0.7,4325,true
70,0.7,4284,true
70,0.7,4258,true
70,0.7,4303,true
80,0.7,6418,true
80,0.7,6287,true
80,0.7,6256,true
80,0.7,6341,true
90,0.7,9216,true
90,0.7,9265,true
90,0.7,9293,true
90,0.7,9186,true
100,0.7,12926,true
100,0.7,12848,true
100,0.7,12945,true
100,0.7,12824,true
110,0.7,17753,true
110,0.7,17725,true
110,0.7,17659,true
110,0.7,17634,true
120,0.7,22872,true
120,0.7,22907,true
120,0.7,22871,true
120,0.7,22933,true
130,0.7,29445,true
130,0.7,29460,true
130,0.7,29514,true
130,0.7,29430,true
140,0.7,37011,true
140,0.7,37154,true
140,0.7,37011,true
140,0.7,36978,true
150,0.7,46699,true
150,0.7,46711,true
150,0.7,46449,true
150,0.7,45963,true
10,0.8,15,true
10,0.8,15,true
10,0.8,15,true
10,0.8,16,true
20,0.8,127,true
20,0.8,126,true
20,0.8,127,true
20,0.8,127,true
30,0.8,465,true
30,0.8,462,true
30,0.8,462,true
30,0.8,465,true
40,0.8,1139,true
40,0.8,1142,true
40,0.8,1144,true
40,0.8,1146,true
50,0.8,2303,true
50,0.8,2302,true
50,0.8,2301,true
50,0.8,2299,true
60,0.8,3838,true
60,0.8,3810,true
60,0.8,3820,true
60,0.8,3860,true
70,0.8,5901,true
70,0.8,5917,true
70,0.8,6002,true
70,0.8,5893,true
80,0.8,9335,true
80,0.8,9187,true
80,0.8,9274,true
80,0.8,9353,true
90,0.8,13581,true
90,0.8,13609,true
90,0.8,13669,true
90,0.8,13691,true
100,0.8,18108,true
100,0.8,18147,true
100,0.8,17932,true
100,0.8,17855,true
110,0.8,24447,true
110,0.8,24365,true
110,0.8,24429,true
110,0.8,24348,true
120,0.8,31850,true
120,0.8,31909,true
120,0.8,31805,true
120,0.8,31791,true
130,0.8,41199,true
130,0.8,41018,true
130,0.8,41012,true
130,0.8,41188,true
140,0.8,51335,true
140,0.8,51311,true
140,0.8,51113,true
140,0.8,50739,true
150,0.8,64601,true
150,0.8,63058,true
150,0.8,63140,true
150,0.8,63298,true
10,0.9,20,true
10,0.9,20,true
10,0.9,22,true
10,0.9,22,true
20,0.9,176,true
20,0.9,177,true
20,0.9,177,true
